Countries;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
SADC;17939147;18380567;18839665;19316128;19809293;20318759;20844036;21385721;21945601;22526111;23128748;23755594;24405652;25073557;25751988;26436289;27122474;27813700;28521220;29260714;30042483;30871881;31743119;32641998;33548267;34447538;35330503;36201265;37074752;37973038;38909686;39890540;40903147;41920570;42905744;43831770;44691237;45491296;46238008;46942916;47616478;48259554;48874604;49476386;50083430;50710247;51361470;52037875;52745056;53487970;54268914;55091194;55951495;56836519;57727825;58611123;59481568;60339635;61182861;62010103;62820479
South Africa;17099836;17524533;17965733;18423157;18896303;19384838;19888259;20406863;20942147;21496075;22069783;22665265;23281517;23913090;24552540;25195184;25836890;26480915;27138966;27827325;28556771;29333095;30150448;30993762;31841588;32678876;33495956;34297727;35100905;35930056;36800507;37718952;38672611;39633754;40564061;41435761;42241007;42987456;43682259;44338551;44967713;45571272;46150913;46719203;47291610;47880595;48489464;49119766;49779472;50477013;51216967;52003759;52832659;53687125;54544184;55386369;56207649;57009751;57792520;58558267;59308690
Botswana;502733;512688;523777;535692;547870;559996;571957;584098;596946;611297;627714;646350;667096;689906;714701;741346;769982;800532;832467;865073;897860;930412;962859;996124;1031439;1069585;1110948;1154904;1200073;1244484;1286756;1326321;1363541;1399110;1434061;1469173;1504724;1540424;1575827;1610260;1643333;1674674;1704637;1734387;1765533;1799077;1835911;1875458;1915636;1953495;1987106;2015406;2039551;2062551;2088619;2120716;2159925;2205076;2254067;2303703;2351625
eSwatini;336578;343346;350155;357279;365120;373925;383820;394760;406508;418739;431251;443979;457039;470561;484747;499759;515602;532253;549787;568316;587852;608374;629812;652112;675240;699077;723599;748634;773774;798498;822423;845267;866995;887706;907622;926836;945506;963416;979922;994105;1005432;1013608;1019054;1022796;1026287;1030575;1036095;1042651;1049948;1057462;1064841;1072029;1079285;1086843;1095022;1104038;1113994;1124808;1136274;1148133;1160164
Angola;5454938;5531451;5608499;5679409;5734995;5770573;5781305;5774440;5771973;5803677;5890360;6041239;6248965;6497283;6761623;7023994;7279630;7533814;7790774;8058112;8341290;8640478;8952971;9278104;9614756;9961993;10320116;10689247;11068051;11454784;11848385;12248901;12657361;13075044;13503753;13945205;14400722;14871572;15359600;15866871;16395477;16945753;17519418;18121477;18758138;19433604;20149905;20905360;21695636;22514275;23356247;24220660;25107925;26015786;26941773;27884380;28842482;29816769;30809787;31825299;32866268
Comoros;191122;194149;197202;200371;203762;207429;211477;215900;220574;225324;230055;234645;239229;244207;250107;257285;265958;275903;286628;297451;307831;317617;326944;336088;345455;355337;365765;376647;387964;399638;411598;423873;436454;449270;462280;475394;488625;501955;515382;528853;542358;555895;569480;583213;597230;611625;626427;641624;657227;673251;689696;706578;723865;741511;759390;777435;795597;813890;832322;850891;869595
DRC;15248256;15637700;16041187;16461828;16903830;17369882;17862052;18378620;18913874;19459818;20011033;20564062;21121360;21690448;22282127;22903587;23560470;24249127;24956387;25663598;26358905;27040329;27717293;28403858;29119663;29881222;30683877;31528702;32443784;33464767;34612023;35908240;37333917;38815835;40252973;41576239;42757239;43827191;44849968;45919615;47105830;48428534;49871670;51425583;53068869;54785894;56578046;58453687;60411195;62448572;64563853;66755151;69020749;71358804;73767445;76244532;78789130;81398765;84068092;86790568;89561404
Lesotho;837264;852892;869132;886061;903757;922307;941798;962279;983683;1005911;1028930;1052619;1077102;1102885;1130634;1160795;1193517;1228527;1265211;1302670;1340258;1377808;1415362;1452727;1489685;1526132;1561687;1596395;1630993;1666564;1703757;1742534;1782284;1822237;1861323;1898598;1934294;1968054;1997524;2019732;2032805;2035738;2029832;2018355;2005953;1996115;1989933;1986926;1987130;1990135;1995575;2003793;2014988;2028528;2043448;2059011;2075041;2091532;2108327;2125267;2142252
Madagascar;5099368;5223561;5352497;5486319;5625164;5769215;5918592;6073529;6234468;6401920;6576305;6757853;6946619;7142634;7345773;7556032;7773452;7998157;8230214;8469677;8716549;8971339;9234137;9504283;9780869;10063493;10352117;10647753;10952396;11268653;11598647;11942809;12301338;12675469;13066544;13475403;13902697;14347860;14808791;15282524;15766806;16260933;16765122;17279139;17802992;18336722;18880265;19433520;19996476;20569115;21151640;21743970;22346641;22961259;23589897;24234080;24894370;25570511;26262313;26969306;27691019
Malawi;3659980;3747758;3839047;3933914;4032364;4134464;4240430;4350456;4464427;4582197;4703783;4829092;4958556;5093368;5235074;5384798;5545653;5717954;5896864;6075485;6250434;6412380;6565985;6737924;6964613;7268271;7666390;8141140;8636686;9075568;9404499;9600361;9685974;9710335;9745695;9844418;10022783;10264906;10552345;10854325;11148751;11432001;11713663;12000183;12301837;12625950;12973693;13341808;13727899;14128161;14539609;14962118;15396010;15839287;16289550;16745305;17205253;17670193;18143215;18628749;19129955
Mauritius;659351;680757;700349;718861;736381;753000;768813;783917;798413;812405;826000;839230;852053;864819;878042;892000;906507;921379;933499;949888;966039;980462;992521;1001691;1012221;1020528;1028360;1036082;1043239;1051260;1058775;1070266;1084441;1097374;1112846;1122457;1133996;1148284;1160421;1175267;1186873;1196287;1204621;1213370;1221003;1228254;1233996;1239630;1244121;1247429;1250400;1252404;1255882;1258653;1260934;1262605;1263473;1264613;1265303;1265711;1265740
Mozambique;7184870;7342117;7507309;7679465;7857107;8039217;8225919;8417698;8614445;8816056;9022747;9232655;9446235;9668655;9906963;10165216;10443954;10738534;11041206;11341405;11630194;11913085;12189817;12439773;12636120;12764385;12808566;12786353;12758003;12805950;12987292;13328029;13805999;14370950;14948050;15483277;15960445;16397175;16813946;17244176;17711925;18221884;18764147;19331097;19910549;20493927;21080108;21673319;22276596;22894718;23531567;24187500;24862673;25560752;26286192;27042001;27829930;28649007;29496009;30366043;31255435
Namibia;634138;649274;665119;681633;698797;716588;734866;753683;773428;794588;817474;842353;868954;896264;922900;947925;971117;992955;1014055;1035379;1057723;1080938;1105103;1131624;1162282;1198149;1239923;1286796;1336545;1386011;1432899;1476399;1516951;1555098;1591826;1627866;1663378;1698029;1731635;1763861;1794583;1823667;1851519;1879113;1907737;1938316;1971318;2006516;2043382;2081039;2118877;2156698;2194777;2233506;2273426;2314901;2358044;2402623;2448300;2494524;2540916
Seychelles;41700;42889;44042;45176;46322;47500;48699;49911;51134;52365;53600;54695;56029;56892;57937;59292;60504;61786;62150;62686;63261;64035;64413;64335;64717;65244;65652;68499;68755;69167;69507;70439;70763;72253;74205;75304;76417;77319;78846;80410;81131;81202;83723;82781;82475;82858;84600;85033;86956;87298;89770;87441;88303;89949;91359;93419;94677;95843;96762;97625;98462
Tanzania;10052151;10346695;10651954;10968196;11295675;11634837;11985442;12348188;12725519;13120587;13535487;13971698;14428340;14902271;15388933;15885228;16390161;16905222;17432756;17976219;18538263;19120683;19723317;20344550;20981775;21633799;22296282;22971208;23670807;24411744;25203848;26056605;26961204;27887204;28792649;29649128;30444523;31192853;31924201;32682240;33499177;34385849;35334790;36337778;37379766;38450323;39548666;40681416;41853944;43073830;44346532;45673520;47053033;48483132;49960563;51482638;53049231;54660345;56313444;58005461;59734213
Zambia;3070780;3164330;3260645;3360099;3463211;3570466;3681953;3797877;3918872;4045740;4179062;4319226;4466170;4619549;4778716;4943279;5112823;5287544;5468259;5656145;5851818;6055361;6265869;6481907;6701547;6923148;7146965;7372835;7598270;7820199;8036849;8246662;8451346;8656484;8869745;9096608;9339740;9597610;9866474;10140564;10415942;10692197;10971704;11256740;11550641;11856244;12173518;12502958;12848531;13215142;13605986;14023199;14465148;14926551;15399793;15879370;16363449;16853608;17351714;17861034;18383956
Zimbabwe;3776679;3905038;4039209;4178726;4322854;4471178;4623340;4779825;4941901;5111326;5289312;5476978;5673914;5877725;6085078;6293875;6502566;6712825;6929663;7160021;7408630;7675582;7958239;8254746;8562259;8877489;9200150;9527202;9849129;10153852;10432409;10681008;10900511;11092775;11261752;11410721;11541215;11653254;11747079;11822722;11881482;11923906;11954293;11982219;12019911;12076697;12155496;12255920;12379553;12526964;12697728;12894323;13115149;13350378;13586710;13814642;14030338;14236599;14438812;14645473;14862927
